rep,id,b,Dq,E0,A0
2,GrandEst,2.25045844157265,2.46687657622356,612.166239728794,1595.07650324538
3,GrandEst,2.18735044701316,2.3451820222831,514.462458977583,1789.57765917474
4,GrandEst,2.19330265106544,2.60092846063768,425.796716133209,1861.93638658676
5,GrandEst,2.19889739945416,2.43725620152067,550.993609682513,1701.36233282931
6,GrandEst,2.23994352868139,2.2916072018942,767.144171462244,1504.69234584708
7,GrandEst,2.20163614780723,2.52040757286337,494.214564587098,1823.93156401091
8,GrandEst,2.21411671539232,2.35779864085975,265.612393213651,1850.95972776526
9,GrandEst,2.23514985299762,2.22791105069569,394.997016755718,1763.76056286149
10,GrandEst,2.24310336036095,2.32972447338806,685.479192293399,1541.40887161597
1,PaysLoire,2.01066451986548,0.0506467978803577,2047.97429403799,1537.90304227209
2,PaysLoire,2.16704011640213,0.0302137614452806,1839.83030136562,1124.443844606
3,PaysLoire,2.24844598240174,0.0272093746780311,1956.67471534942,732.883828199412
4,PaysLoire,2.11756317936023,0.118896444747231,1586.86437802301,1435.75311776811
5,PaysLoire,2.12442690558141,0.261179963196014,2338.23698919052,966.428064998704
6,PaysLoire,1.97018484628109,0.0725902755809721,2063.65708058734,1928.08733625034
7,PaysLoire,2.25519683960851,0.0567724145848697,1815.67605183918,870.830480390352
8,PaysLoire,2.12696052288903,0.0312659926470935,2719.95620329388,676.407691170253
9,PaysLoire,2.21800075834586,0.0517104008752265,1794.64723991362,968.691261828296
10,PaysLoire,2.17354246175429,0.253689448184188,1614.69742983314,1345.07234114169
1,Bretagne,1.94618872141222,3.3409465052866,1568.78824619719,140.474730802218
2,Bretagne,2.05904681267319,3.35414622330547,1311.36978134379,61.6106502019041
3,Bretagne,2.01575239681465,3.93167389727112,1456.63744483565,64.1270822202694
4,Bretagne,2.08855966541886,2.86751047224993,1162.81981302217,75.3049627776695
5,Bretagne,2.10488089387767,2.98983493953091,1209.97050947882,146.423438290072
6,Bretagne,2.14692337063238,2.88870327775855,938.020270867777,170.732853873841
7,Bretagne,2.17253330427716,3.80794017037569,1024.75423071715,80.3542269120506
8,Bretagne,1.99472384405713,3.13699118847584,1500.06240630457,67.6854246475943
9,Bretagne,2.02978929834576,2.64056978250443,1319.36387657607,84.2506148995826
10,Bretagne,2.00224322843488,2.94134295466059,1487.84482320423,7.80980020815631
1,Occitanie,2.37940969091451,0.347207644313908,781.88963995157,397.916358632377
2,Occitanie,2.34403679438342,0.509264324046826,813.207073376683,443.130945851471
3,Occitanie,2.3801412713917,0.614275719125608,539.84441080549,556.209111211454
4,Occitanie,2.48001298082466,0.321937071278695,355.357304791735,504.035751913526
5,Occitanie,2.3304632328364,0.437310851782869,493.569051487675,707.771439859935
6,Occitanie,2.3496212664843,0.531244180160969,485.733773443896,615.2530315058
7,Occitanie,2.34721254668259,0.464844927868115,390.459286896551,704.072081456469
8,Occitanie,2.51035436781732,0.324731161293292,708.407603087995,328.305702743085
9,Occitanie,2.40100618766781,0.617674213113893,422.061820516443,600.62481934644
10,Occitanie,2.41943672089009,0.485392960630979,542.191464216719,453.686020656583
1,PACA,2.39795452367474,0.710486601626713,313.693859855921,775.192399850488
2,PACA,2.43818471116411,0.718436976709232,102.457343833267,861.63876374499
3,PACA,2.40493724497562,0.732967196558074,194.497104658214,831.409703303596
4,PACA,2.4470364676077,0.727137766146921,71.6374385391672,831.237632142805
5,PACA,2.41718881011285,0.617921059949455,151.665871942734,843.729184631487
6,PACA,2.49088864235765,0.484114305815767,102.68076410388,739.416046817684
7,PACA,2.40938715711198,0.772072748400264,290.928525633532,768.475900356338
8,PACA,2.40732514626287,0.801410135367575,235.036822227816,799.079826542844
9,PACA,2.43220524122017,0.74386237085202,260.121073010738,784.835989545309
10,PACA,2.47262420521384,0.598998520366382,128.687829179778,757.262769021468
1,Corse,0.99530504570663,0.0128661758651861,719.15298133021,202.467305086538
2,Corse,1.1979603621653,0.0281518288521684,753.826909090932,24.5419936747883
3,Corse,1.13565385043091,0.0405924145191647,703.434616253757,67.3767553690622
4,Corse,1.07686611593194,0.0718650624148028,496.436420715927,346.615689953275
5,Corse,1.08291619988401,0.0302762326854467,746.215617583433,106.61084529283
6,Corse,0.941254472293681,0.0286882555343732,724.416219129262,226.646736580403
7,Corse,1.09253957444889,0.0571813400970894,546.327588297628,326.080310551058
8,Corse,0.875888575001421,0.033863230488668,685.529087880643,374.929104253881
9,Corse,1.12827788059394,0.0794132537215283,744.534898938011,83.5436062317668
10,Corse,1.10317018195684,0.0376672550117106,736.969298215397,89.8273261857715
