id	nameid	date	obs	popsize	epidemicsStart	day	lockdown	timeSinceConf	timeSinceDeConf	rsent	initH	initIref	timelock	obs_id
REG-27	BFC	2020-03-23	169	2783039	2020-03-02	21	1	7	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-24	163	2783039	2020-03-02	22	1	8	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-02	6	2783039	2020-03-02	0	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-03	4	2783039	2020-03-02	1	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-04	5	2783039	2020-03-02	2	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-05	11	2783039	2020-03-02	3	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-06	10	2783039	2020-03-02	4	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-07	4	2783039	2020-03-02	5	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-08	5	2783039	2020-03-02	6	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-09	16	2783039	2020-03-02	7	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-10	23	2783039	2020-03-02	8	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-11	15	2783039	2020-03-02	9	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-12	20	2783039	2020-03-02	10	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-13	26	2783039	2020-03-02	11	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-14	15	2783039	2020-03-02	12	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-15	22	2783039	2020-03-02	13	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-16	102	2783039	2020-03-02	14	0	0	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-17	56	2783039	2020-03-02	15	1	1	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-18	80	2783039	2020-03-02	16	1	2	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-19	72	2783039	2020-03-02	17	1	3	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-20	99	2783039	2020-03-02	18	1	4	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-21	112	2783039	2020-03-02	19	1	5	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-22	78	2783039	2020-03-02	20	1	6	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-23	160	2783039	2020-03-02	21	1	7	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-24	132	2783039	2020-03-02	22	1	8	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-25	159	2783039	2020-03-02	23	1	9	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-26	150	2783039	2020-03-02	24	1	10	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-27	181	2783039	2020-03-02	25	1	11	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-28	155	2783039	2020-03-02	26	1	12	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-29	123	2783039	2020-03-02	27	1	13	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-30	146	2783039	2020-03-02	28	1	14	0	0.070075931	3	9	15	2
REG-27	BFC	2020-03-31	149	2783039	2020-03-02	29	1	15	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-01	126	2783039	2020-03-02	30	1	16	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-02	116	2783039	2020-03-02	31	1	17	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-03	148	2783039	2020-03-02	32	1	18	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-04	88	2783039	2020-03-02	33	1	19	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-05	71	2783039	2020-03-02	34	1	20	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-06	117	2783039	2020-03-02	35	1	21	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-07	98	2783039	2020-03-02	36	1	22	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-08	100	2783039	2020-03-02	37	1	23	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-09	106	2783039	2020-03-02	38	1	24	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-10	114	2783039	2020-03-02	39	1	25	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-11	73	2783039	2020-03-02	40	1	26	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-12	58	2783039	2020-03-02	41	1	27	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-13	70	2783039	2020-03-02	42	1	28	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-14	81	2783039	2020-03-02	43	1	29	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-15	85	2783039	2020-03-02	44	1	30	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-16	109	2783039	2020-03-02	45	1	31	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-17	75	2783039	2020-03-02	46	1	32	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-18	40	2783039	2020-03-02	47	1	33	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-19	30	2783039	2020-03-02	48	1	34	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-20	63	2783039	2020-03-02	49	1	35	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-21	50	2783039	2020-03-02	50	1	36	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-22	52	2783039	2020-03-02	51	1	37	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-23	57	2783039	2020-03-02	52	1	38	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-24	59	2783039	2020-03-02	53	1	39	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-25	29	2783039	2020-03-02	54	1	40	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-26	5	2783039	2020-03-02	55	1	41	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-27	39	2783039	2020-03-02	56	1	42	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-28	38	2783039	2020-03-02	57	1	43	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-29	37	2783039	2020-03-02	58	1	44	0	0.070075931	3	9	15	2
REG-27	BFC	2020-04-30	44	2783039	2020-03-02	59	1	45	0	0.070075931	3	9	15	2
REG-27	BFC	2020-05-01	20	2783039	2020-03-02	60	1	46	0	0.070075931	3	9	15	2
REG-27	BFC	2020-05-02	14	2783039	2020-03-02	61	1	47	0	0.070075931	3	9	15	2
REG-27	BFC	2020-05-03	13	2783039	2020-03-02	62	1	48	0	0.070075931	3	9	15	2
