rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
2,PaysLoire,-0.0176789263940535,-3.91672779408122,0.358106805000637,-0.345951809474998,0
3,PaysLoire,0.0155246915025154,-3.04212809817925,0.294477459032569,-0.129240379704661,0
4,PaysLoire,0.0100512113696644,-3.09781793524084,0.421067536222696,-0.560418021405267,0
5,PaysLoire,-0.0134998030016526,-4.305201261258,0.270779806284661,0.487328160120208,0
6,PaysLoire,-0.00971311064059596,-3.42220002745574,0.380266071651459,-0.0801801056305142,0
7,PaysLoire,0.0474721170865797,-2.99478574487833,-0.0407704639865731,0.565269127559294,0
8,PaysLoire,-0.0324975577697008,-4.04385015089532,0.613469473115693,-0.865305914568523,0
9,PaysLoire,-0.0191427799241967,-3.04378363897426,0.420468189775528,-0.211522764216443,0
10,PaysLoire,-0.0143522568305055,-3.0053796671416,0.378119832508846,-0.37046439610745,0
1,Bretagne,-0.22749573757311,0.573771875383779,0.279271729572852,-0.505290414708836,0
2,Bretagne,-0.127476488591238,0.705368083673726,0.105972456315313,-3.24153945292786,0
3,Bretagne,-0.184474433192586,0.468445139806114,0.190293360862728,-2.57634232061161,0
4,Bretagne,-0.181928036411844,0.460197580237788,0.16616863294638,-1.31216736347655,0
5,Bretagne,-0.124604630980719,0.444332122422726,0.00174238825180219,-3.2819332953385,0
6,Bretagne,-0.181637913462415,0.443963478095917,0.223714292585342,-2.04160808038388,0
7,Bretagne,-0.148717891790247,0.746902434491207,-0.188034376105493,0.372856559134924,0
8,Bretagne,-0.159989794179585,0.4192894558344,0.0327173666764285,-0.434613321444,0
9,Bretagne,-0.150337169291366,0.481778079919264,-0.0561324945202805,-0.148121665234456,0
10,Bretagne,-0.113304482819475,0.770559970756491,0.00621134724242987,-2.13777277735708,0
1,Occitanie,-0.0903195487560507,-0.076877339642179,0.320995138433699,-3.30272007559934,0
2,Occitanie,-0.102203147921265,0.0059571314377117,-0.348639219952723,1.02027827141926,0
3,Occitanie,-0.0676402952025467,-0.158001851980564,0.208818297288278,-1.81853209125503,0
4,Occitanie,-0.0577671999950111,-0.183176292846115,-0.54276455288101,0.751940324051018,0
5,Occitanie,-0.0742806598159251,-0.295705928250938,-1.11657207650434,1.26388435573285,0
6,Occitanie,-0.0425172395836074,0.022791341565909,0.0114815478813652,-0.485268902648962,0
7,Occitanie,-0.0966932060994644,0.00153290958825043,-0.594546795664441,1.2089629093399,0
8,Occitanie,-0.0562861592442426,-0.186633997750886,-0.531868496090004,0.879765187190244,0
9,Occitanie,-0.0680906833063603,0.161054799992282,-0.261555730470683,0.719848122831883,0
10,Occitanie,-0.0679242874792263,-0.0313717408195921,-0.344262574770544,0.732250146290537,0
1,PACA,-0.0109824079753698,-0.207299262996367,-0.0880189405906312,-0.10452962245749,0
2,PACA,-0.0160865717136253,-0.164396923916639,0.133828713405437,-1.19881485703229,0
3,PACA,-0.0312437746478828,0.014488485368059,-0.440403289850312,0.842417109943767,0
4,PACA,-0.0198409781761246,-0.131759942006085,0.199395511013042,-2.76623857013497,0
5,PACA,-0.00251381840556293,-0.0902167059269929,-0.129294831167379,-0.0928539690486396,0
6,PACA,0.00643275577909311,-0.146442340737845,-0.16823849610723,0.0293543559911453,0
7,PACA,0.00375746022809072,-0.127553784883496,0.129246681563948,-2.57530374738521,0
8,PACA,-0.0515578210833384,-0.185670316902578,-0.397105542798084,0.995001046048277,0
9,PACA,0.000643105023357373,6.41340749810999e-5,0.161085440785475,-3.00378652749811,0
10,PACA,-0.0544427386631667,-0.114637906594768,0.0715469931983034,-0.0827923975808309,0
