rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
7,Bretagne,-0.229477795417619,0.616833995015182,0.321510296154714,-0.778394480101097,0.216902941622822
8,Bretagne,-0.243556648596822,0.613087040259254,0.358125127472338,-0.236170540445251,0.141206463550247
9,Bretagne,-0.138739505111696,0.54402252983358,-0.133040836308697,-0.274997563535783,0.0660717320156747
10,Bretagne,-0.285275180712645,0.614088591554905,0.385018282283581,-0.0518639209661147,0.315919186657204
1,Occitanie,-0.061297106943652,-0.1818107813365,-0.0214083653583874,0.143042084511505,-0.0781821097590349
2,Occitanie,0.0316795980741571,-0.147385462057782,0.0064665622465525,-0.701506213216906,-0.239396166045427
3,Occitanie,-0.0185416095052755,-0.121959396934407,0.174196711044539,-0.479379011070597,-0.162615362769829
4,Occitanie,-0.0054458972655266,-0.0857559273726806,-0.0137993125237878,-0.126318223874171,-0.124457984975251
5,Occitanie,-0.0390083550484873,-0.161193702786565,-0.123912120253904,0.25787202043062,-0.146692185571425
6,Occitanie,-0.0131772202106283,0.0563233897959347,-0.466835552522262,0.471546006330079,-0.200544162117702
7,Occitanie,0.0547020111196504,-0.000242006749224213,-0.220572565026825,-0.23571106785098,-0.265011203054954
8,Occitanie,-0.0132574819250757,-0.102159208416876,0.274559022746483,-0.778094403766769,-0.175546032239241
9,Occitanie,-0.0293468798634634,-0.344049987257788,0.014264559986085,-0.139716539230138,-0.0786898040279586
10,Occitanie,-0.0538572728478671,0.116691849260369,0.100534861324359,0.0640531967125324,-0.0904993597447982
