reg_id	date	day	init_I0	init_H0	obs_id	obs	isolation	popsize	ascertainement	ascertainementmin	ascertainementmax	ascertainementsd	IDname
REG-32	2020-03-23	21	36	0	1	333	1	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-24	22	36	0	1	263	1	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-25	23	36	0	1	221	1	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-03	1	36	0	2	1	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-04	2	36	0	2	0	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-05	3	36	0	2	3	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-06	4	36	0	2	2	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-07	5	36	0	2	3	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-08	6	36	0	2	3	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-09	7	36	0	2	6	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-10	8	36	0	2	10	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-11	9	36	0	2	13	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-12	10	36	0	2	10	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-13	11	36	0	2	19	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
