rep,id,b1,Dq,E0,betat1,betat2
8,Normandie,1.91368971629873,2.85489551076275,1807.72647003538,-0.184639116127823,-1.11303479184306
9,Normandie,1.9597645774888,3.27124658782752,1581.71507971216,-0.184639116127823,-1.11303479184306
10,Normandie,1.86269891786453,2.46495868733392,1901.36837978211,-0.184639116127823,-1.11303479184306
1,HDF,1.78779648130659,2.27053877918897,1151.78850018107,-0.184639116127823,-1.11303479184306
2,HDF,1.7806926783861,2.16930188502162,1170.76615901543,-0.184639116127823,-1.11303479184306
3,HDF,1.78158045419616,2.05639480505985,1114.77825045585,-0.184639116127823,-1.11303479184306
4,HDF,1.7937255146948,2.04035035137979,1115.54853088651,-0.184639116127823,-1.11303479184306
5,HDF,1.79114076198126,2.2589588291381,1152.06069346184,-0.184639116127823,-1.11303479184306
6,HDF,1.79321786275373,1.983971131003,1057.8013792775,-0.184639116127823,-1.11303479184306
7,HDF,1.7959470905469,2.0512159672209,1063.06903103636,-0.184639116127823,-1.11303479184306
8,HDF,1.81671585784029,2.29763293699052,812.091549073628,-0.184639116127823,-1.11303479184306
9,HDF,1.80746031840294,2.28685086403149,936.093096034689,-0.184639116127823,-1.11303479184306
10,HDF,1.78820066740806,1.99103854346412,976.015586856216,-0.184639116127823,-1.11303479184306
1,GrandEst,1.90322485917207,2.56016372335628,3721.90049297447,-0.184639116127823,-1.11303479184306
2,GrandEst,1.86341107961469,2.56190790457608,4182.26348379699,-0.184639116127823,-1.11303479184306
3,GrandEst,1.89117077306018,2.56747645335021,3864.03282072685,-0.184639116127823,-1.11303479184306
4,GrandEst,1.8928249182717,2.65196867318392,3821.7403447751,-0.184639116127823,-1.11303479184306
5,GrandEst,1.87308413600864,2.54712845109728,3919.0683412861,-0.184639116127823,-1.11303479184306
6,GrandEst,1.91772205740087,2.54902032837745,3648.14979922829,-0.184639116127823,-1.11303479184306
7,GrandEst,1.89655597302177,2.7401218699893,3968.18244209142,-0.184639116127823,-1.11303479184306
8,GrandEst,1.87933211730884,2.5996042785123,3957.93714795445,-0.184639116127823,-1.11303479184306
9,GrandEst,1.87169006588714,2.52254416907237,3944.50400317862,-0.184639116127823,-1.11303479184306
10,GrandEst,1.88126776414822,2.72192929839339,4028.74040130758,-0.184639116127823,-1.11303479184306
1,PaysLoire,2.28910336370559,0.00828664747948817,343.728669228946,-0.184639116127823,-1.11303479184306
2,PaysLoire,2.2934973828166,0.0372576511006743,239.046162910505,-0.184639116127823,-1.11303479184306
3,PaysLoire,2.29935341598983,0.0199086796908417,271.867748822678,-0.184639116127823,-1.11303479184306
4,PaysLoire,2.31464968155013,0.0294409283946757,151.469847815197,-0.184639116127823,-1.11303479184306
5,PaysLoire,2.30317090636698,0.0411875960400621,164.576107567137,-0.184639116127823,-1.11303479184306
6,PaysLoire,2.29861207130737,0.0425440835677028,284.177922073626,-0.184639116127823,-1.11303479184306
7,PaysLoire,2.29622820576615,0.0278658566143673,230.048400339032,-0.184639116127823,-1.11303479184306
8,PaysLoire,2.32186355535715,0.0401977066603057,139.310932587339,-0.184639116127823,-1.11303479184306
9,PaysLoire,2.27420040698239,0.0359726194908115,331.102787965085,-0.184639116127823,-1.11303479184306
10,PaysLoire,2.32059525502588,0.0127912785137159,182.474433399006,-0.184639116127823,-1.11303479184306
1,Bretagne,1.76527935721381,1.36311762318657,618.481522135242,-0.184639116127823,-1.11303479184306
2,Bretagne,1.81507229687354,1.53690648483343,430.422898646401,-0.184639116127823,-1.11303479184306
3,Bretagne,1.79924391254975,1.9574356946932,501.146522019918,-0.184639116127823,-1.11303479184306
4,Bretagne,1.81012470324764,1.8543908795825,576.40454178297,-0.184639116127823,-1.11303479184306
5,Bretagne,1.80765326569291,1.65644499786483,486.881422822649,-0.184639116127823,-1.11303479184306
6,Bretagne,1.71259348165737,1.47286710596248,859.903315078315,-0.184639116127823,-1.11303479184306
7,Bretagne,1.78482113058339,1.94203666066405,615.85843699429,-0.184639116127823,-1.11303479184306
8,Bretagne,1.77913814899211,1.57133400595481,470.642587767047,-0.184639116127823,-1.11303479184306
9,Bretagne,1.77466303969704,1.51729138545637,560.599617053695,-0.184639116127823,-1.11303479184306
10,Bretagne,1.78259808664173,1.51995270969734,525.324906859563,-0.184639116127823,-1.11303479184306
1,Occitanie,2.1147364564387,0.926619242910385,702.409028218324,-0.184639116127823,-1.11303479184306
2,Occitanie,2.00154725995492,0.708943614627753,1013.04636734845,-0.184639116127823,-1.11303479184306
3,Occitanie,2.09681902737715,0.996879919512053,726.447662730181,-0.184639116127823,-1.11303479184306
4,Occitanie,2.05983800833528,0.737384290263659,885.128637732318,-0.184639116127823,-1.11303479184306
5,Occitanie,2.08018219720723,0.885810248508309,861.368396737783,-0.184639116127823,-1.11303479184306
6,Occitanie,2.0825724473732,1.02473143495055,865.238492493168,-0.184639116127823,-1.11303479184306
7,Occitanie,2.1110038791657,0.988208445416536,743.996999950142,-0.184639116127823,-1.11303479184306
8,Occitanie,2.05150937534454,0.945741542802339,932.104437791355,-0.184639116127823,-1.11303479184306
9,Occitanie,2.08502674762394,0.967024811135696,812.241860701972,-0.184639116127823,-1.11303479184306
10,Occitanie,2.0389941872497,0.896681176245731,927.048542058071,-0.184639116127823,-1.11303479184306
1,PACA,2.04071709622069,1.00431862337977,846.175029552902,-0.184639116127823,-1.11303479184306
2,PACA,2.02653357761482,0.875823930713783,872.728885443203,-0.184639116127823,-1.11303479184306
3,PACA,2.04131934398332,0.983116153641737,870.245325252225,-0.184639116127823,-1.11303479184306
4,PACA,2.00347286052732,1.01265959950891,948.863998098807,-0.184639116127823,-1.11303479184306
5,PACA,2.04062585859619,1.23209471988332,888.451215103885,-0.184639116127823,-1.11303479184306
6,PACA,2.04072894055442,1.0382485420039,885.745655887914,-0.184639116127823,-1.11303479184306
7,PACA,1.98880084899904,0.925279519052112,1019.74646375986,-0.184639116127823,-1.11303479184306
8,PACA,2.02608082785496,0.973458712215832,879.429686488245,-0.184639116127823,-1.11303479184306
9,PACA,1.98051562831161,1.21818086971485,1068.58786741864,-0.184639116127823,-1.11303479184306
10,PACA,2.0369896882863,0.992446795031853,880.528988875953,-0.184639116127823,-1.11303479184306
