ID date diffB diffBmin diffBmax 
'Normandie' '2020-03-22' 2.109845e-01 3.372469e-01 -1.537497e-02
'Normandie' '2020-03-22' 1.972294e-01 3.320705e-01 -4.830607e-02
'Normandie' '2020-03-23' 1.822464e-01 3.262278e-01 -8.369564e-02
'Normandie' '2020-03-26' 1.586611e-01 3.157677e-01 -1.352945e-01
'Normandie' '2020-03-23' 7.971860e-02 2.756672e-01 -2.904275e-01
'Normandie' '2020-03-31' 5.292883e-03 2.366954e-01 -4.325707e-01
'Normandie' '2020-03-23' 1.568356e-02 2.418929e-01 -4.118737e-01
'Normandie' '2020-03-23' 3.209632e-02 2.508846e-01 -3.819642e-01
'Normandie' '2020-03-25' 1.765634e-02 2.438863e-01 -4.115664e-01
'Normandie' '2020-03-23' -1.657796e-02 2.261640e-01 -4.776815e-01
'Normandie' '2020-03-25' -4.498816e-02 2.109651e-01 -5.307759e-01
'Normandie' '2020-03-23' -4.492953e-02 2.106815e-01 -5.295346e-01
'Normandie' '2020-03-23' -1.623069e-02 2.262973e-01 -4.768484e-01
'Normandie' '2020-03-23' 1.380603e-02 2.436154e-01 -4.252558e-01
'Normandie' '2020-03-24' 1.655057e-03 2.393378e-01 -4.561337e-01
'Normandie' '2020-03-27' -1.654536e-02 2.316343e-01 -4.977090e-01
'Normandie' '2020-03-24' -4.517443e-02 2.184959e-01 -5.593706e-01
'Normandie' '2020-04-01' -7.197982e-02 2.056374e-01 -6.150281e-01
'Normandie' '2020-03-24' -7.112347e-02 2.069093e-01 -6.165538e-01
'Normandie' '2020-03-24' -7.223503e-02 2.074442e-01 -6.229899e-01
'Normandie' '2020-03-26' -7.028823e-02 2.096970e-01 -6.240804e-01
'Normandie' '2020-03-24' -6.990613e-02 2.114131e-01 -6.293146e-01
'Normandie' '2020-03-26' -6.341368e-02 2.163296e-01 -6.229732e-01
'Normandie' '2020-03-24' -4.164971e-02 2.292319e-01 -5.875898e-01
'Normandie' '2020-03-24' -5.157709e-02 2.267315e-01 -6.175381e-01
'Normandie' '2020-03-24' -8.507409e-02 2.121891e-01 -6.936904e-01
'Normandie' '2020-03-25' -8.199850e-02 2.151489e-01 -6.935350e-01
'Normandie' '2020-03-28' -5.820424e-02 2.286318e-01 -6.527614e-01
'Normandie' '2020-03-25' -4.222478e-02 2.387027e-01 -6.298799e-01
'Normandie' '2020-04-02' -4.226353e-02 2.451823e-01 -6.591323e-01
'Normandie' '2020-03-25' -4.218980e-02 2.513471e-01 -6.879151e-01
'Normandie' '2020-03-25' -4.226138e-02 2.571157e-01 -7.168271e-01
'Normandie' '2020-03-27' -4.228291e-02 2.626096e-01 -7.454754e-01
'Normandie' '2020-03-25' -4.214405e-02 2.679006e-01 -7.736176e-01
'Normandie' '2020-03-27' -4.208432e-02 2.729091e-01 -8.018330e-01
'Normandie' '2020-03-25' -4.193045e-02 2.777273e-01 -8.297233e-01
'Normandie' '2020-03-25' -4.175942e-02 2.818959e-01 -8.546759e-01
'Normandie' '2020-03-25' -4.175942e-02 2.818959e-01 -8.546759e-01
'HDF' '2020-03-26' -2.099457e-03 1.277122e-01 -1.402115e-01
'HDF' '2020-03-29' -2.425497e-03 3.988477e-01 -4.952777e-01
'HDF' '2020-03-26' -2.950793e-03 5.308798e-01 -7.121270e-01
'HDF' '2020-04-03' -3.581933e-03 6.262364e-01 -8.929184e-01
'HDF' '2020-03-26' -3.381944e-03 7.025675e-01 -1.052958e+00
'HDF' '2020-03-26' -2.904036e-03 7.657917e-01 -1.198365e+00
'HDF' '2020-03-28' 1.255050e-02 8.274534e-01 -1.305602e+00
'HDF' '2020-03-26' 3.998239e-02 8.851203e-01 -1.373217e+00
'HDF' '2020-03-28' 4.609098e-02 9.175533e-01 -1.448462e+00
'HDF' '2020-03-26' 4.053044e-02 9.281878e-01 -1.503717e+00
'HDF' '2020-03-26' 7.295566e-02 9.435335e-01 -1.443313e+00
'HDF' '2020-03-26' 7.653413e-02 9.276463e-01 -1.390996e+00
'HDF' '2020-03-27' 1.138457e-01 9.197111e-01 -1.249991e+00
'HDF' '2020-03-30' 1.960791e-01 9.409500e-01 -1.045320e+00
'HDF' '2020-03-27' 6.176565e-03 7.945341e-01 -1.287057e+00
'HDF' '2020-04-04' -1.193794e-01 6.652012e-01 -1.370948e+00
'HDF' '2020-03-27' 1.545078e-02 7.167569e-01 -1.091228e+00
'HDF' '2020-03-27' 7.442451e-02 7.289046e-01 -9.574330e-01
'HDF' '2020-03-29' 6.831334e-03 6.525950e-01 -1.007472e+00
'HDF' '2020-03-27' 8.844197e-02 6.631915e-01 -8.078589e-01
'HDF' '2020-03-29' 2.196357e-01 7.079136e-01 -5.405974e-01
'HDF' '2020-03-27' 1.009992e-01 5.883399e-01 -6.559061e-01
'HDF' '2020-03-27' -4.525078e-02 4.399466e-01 -7.892921e-01
'HDF' '2020-03-27' -3.720296e-02 3.977748e-01 -6.995225e-01
'HDF' '2020-03-28' -4.986472e-02 3.455707e-01 -6.481671e-01
'HDF' '2020-03-31' -1.537707e-01 2.362396e-01 -7.396777e-01
'HDF' '2020-03-28' -8.470561e-02 2.471440e-01 -5.797869e-01
'HDF' '2020-04-05' 7.549432e-02 3.310399e-01 -3.071740e-01
'HDF' '2020-03-28' 7.447808e-02 3.139456e-01 -2.876838e-01
'HDF' '2020-03-28' 1.688244e-02 2.617879e-01 -3.560254e-01
'HDF' '2020-03-30' -1.994754e-02 2.257357e-01 -3.955879e-01
'HDF' '2020-03-28' -7.017365e-02 1.829635e-01 -4.579115e-01
'HDF' '2020-03-30' -1.684385e-01 1.095726e-01 -5.935160e-01
'HDF' '2020-03-28' -1.239483e-01 1.302939e-01 -5.110138e-01
'HDF' '2020-03-28' 1.657720e-02 2.196958e-01 -2.941107e-01
'HDF' '2020-03-28' 2.677174e-02 2.269229e-01 -2.828288e-01
'HDF' '2020-03-29' -3.856581e-02 1.852116e-01 -3.875241e-01
'HDF' '2020-04-01' -9.627176e-02 1.475423e-01 -4.777030e-01
'HDF' '2020-03-29' -1.257125e-01 1.270168e-01 -5.209447e-01
'HDF' '2020-04-06' -1.531565e-01 1.076603e-01 -5.604533e-01
'HDF' '2020-03-29' -8.911923e-02 1.476144e-01 -4.586260e-01
'HDF' '2020-03-29' 1.018947e-02 2.131075e-01 -3.087633e-01
'HDF' '2020-03-31' 8.270306e-02 2.626252e-01 -2.036890e-01
'HDF' '2020-03-29' 9.432778e-02 2.740584e-01 -1.961593e-01
'HDF' '2020-03-31' 3.878271e-02 2.435578e-01 -2.964408e-01
'HDF' '2020-03-29' -2.271563e-02 2.083379e-01 -4.036666e-01
'HDF' '2020-03-29' -4.667902e-02 1.947902e-01 -4.460308e-01
'HDF' '2020-03-29' -3.195136e-02 2.044347e-01 -4.238239e-01
'HDF' '2020-03-30' 2.541950e-02 2.406329e-01 -3.332039e-01
'HDF' '2020-04-02' 4.437019e-02 2.547725e-01 -3.094505e-01
'HDF' '2020-03-30' 2.089060e-02 2.435074e-01 -3.566825e-01
'HDF' '2020-04-07' 1.117967e-02 2.399904e-01 -3.795922e-01
'HDF' '2020-03-30' 8.705799e-03 2.406663e-01 -3.900871e-01
'HDF' '2020-03-30' 1.723022e-02 2.477022e-01 -3.816381e-01
'HDF' '2020-04-01' 4.192286e-02 2.643616e-01 -3.461433e-01
'HDF' '2020-03-30' 7.170944e-02 2.842458e-01 -3.028333e-01
'HDF' '2020-04-01' 7.662346e-02 2.902072e-01 -3.041533e-01
'HDF' '2020-03-30' 6.478049e-02 2.865797e-01 -3.349646e-01
'HDF' '2020-03-30' 5.302595e-02 2.828253e-01 -3.652353e-01
'HDF' '2020-03-30' 3.107656e-02 2.732404e-01 -4.134582e-01
'HDF' '2020-03-31' 3.453214e-02 2.771792e-01 -4.140983e-01
'HDF' '2020-04-03' 5.611765e-02 2.912052e-01 -3.822989e-01
'HDF' '2020-03-31' 7.877183e-02 3.059929e-01 -3.493297e-01
'HDF' '2020-04-08' 7.588219e-02 3.074002e-01 -3.653358e-01
'HDF' '2020-03-31' 2.820936e-02 2.850594e-01 -4.659965e-01
'HDF' '2020-03-31' -1.526727e-02 2.640516e-01 -5.555614e-01
'HDF' '2020-04-02' -4.020490e-02 2.520684e-01 -6.072105e-01
