reg_id	date	day	initI	initH	obs_id	obs	isolation	popsize	ascertainement	IDname	timesinceconf
REG-84	2020-04-08	37	37	0	2	146	1	8032377	0.0259584322021785	AURA	22
REG-84	2020-04-09	38	37	0	2	135	1	8032377	0.0259584322021785	AURA	23
REG-84	2020-04-10	39	37	0	2	135	1	8032377	0.0259584322021785	AURA	24
REG-84	2020-04-11	40	37	0	2	98	1	8032377	0.0259584322021785	AURA	25
REG-84	2020-04-12	41	37	0	2	82	1	8032377	0.0259584322021785	AURA	26
REG-84	2020-04-13	42	37	0	2	98	1	8032377	0.0259584322021785	AURA	27
REG-84	2020-04-14	43	37	0	2	133	1	8032377	0.0259584322021785	AURA	28
REG-84	2020-04-15	44	37	0	2	88	1	8032377	0.0259584322021785	AURA	29
REG-84	2020-04-16	45	37	0	2	86	1	8032377	0.0259584322021785	AURA	30
REG-84	2020-04-17	46	37	0	2	80	1	8032377	0.0259584322021785	AURA	31
REG-84	2020-04-18	47	37	0	2	40	1	8032377	0.0259584322021785	AURA	32
REG-84	2020-04-19	48	37	0	2	54	1	8032377	0.0259584322021785	AURA	33
REG-84	2020-04-20	49	37	0	2	69	1	8032377	0.0259584322021785	AURA	34
REG-24	2020-03-10	0	18	0	1	2	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-11	1	18	0	1	2	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-12	2	18	0	1	10	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-13	3	18	0	1	3	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-14	4	18	0	1	21	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-15	5	18	0	1	17	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-16	6	18	0	1	19	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-17	7	18	0	1	13	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-18	8	18	0	1	25	1	2559073	0.0282740007711091	Centre	1
REG-24	2020-03-19	9	18	0	1	29	1	2559073	0.0282740007711091	Centre	2
REG-24	2020-03-20	10	18	0	1	62	1	2559073	0.0282740007711091	Centre	3
REG-24	2020-03-21	11	18	0	1	35	1	2559073	0.0282740007711091	Centre	4
REG-24	2020-03-22	12	18	0	1	37	1	2559073	0.0282740007711091	Centre	5
REG-24	2020-03-23	13	18	0	1	70	1	2559073	0.0282740007711091	Centre	6
REG-24	2020-03-24	14	18	0	1	89	1	2559073	0.0282740007711091	Centre	7
REG-24	2020-03-12	2	18	0	2	1	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-13	3	18	0	2	1	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-14	4	18	0	2	2	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-15	5	18	0	2	5	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-16	6	18	0	2	6	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-17	7	18	0	2	10	0	2559073	0.0282740007711091	Centre	0
REG-24	2020-03-18	8	18	0	2	5	1	2559073	0.0282740007711091	Centre	1
REG-24	2020-03-19	9	18	0	2	13	1	2559073	0.0282740007711091	Centre	2
REG-24	2020-03-20	10	18	0	2	16	1	2559073	0.0282740007711091	Centre	3
REG-24	2020-03-21	11	18	0	2	17	1	2559073	0.0282740007711091	Centre	4
REG-24	2020-03-22	12	18	0	2	13	1	2559073	0.0282740007711091	Centre	5
REG-24	2020-03-23	13	18	0	2	22	1	2559073	0.0282740007711091	Centre	6
REG-24	2020-03-24	14	18	0	2	14	1	2559073	0.0282740007711091	Centre	7
REG-24	2020-03-25	15	18	0	2	13	1	2559073	0.0282740007711091	Centre	8
REG-24	2020-03-26	16	18	0	2	17	1	2559073	0.0282740007711091	Centre	9
REG-24	2020-03-27	17	18	0	2	43	1	2559073	0.0282740007711091	Centre	10
REG-24	2020-03-28	18	18	0	2	33	1	2559073	0.0282740007711091	Centre	11
REG-24	2020-03-29	19	18	0	2	32	1	2559073	0.0282740007711091	Centre	12
REG-24	2020-03-30	20	18	0	2	48	1	2559073	0.0282740007711091	Centre	13
REG-24	2020-03-31	21	18	0	2	43	1	2559073	0.0282740007711091	Centre	14
REG-24	2020-04-01	22	18	0	2	36	1	2559073	0.0282740007711091	Centre	15
REG-24	2020-04-02	23	18	0	2	33	1	2559073	0.0282740007711091	Centre	16
REG-24	2020-04-03	24	18	0	2	40	1	2559073	0.0282740007711091	Centre	17
REG-24	2020-04-04	25	18	0	2	18	1	2559073	0.0282740007711091	Centre	18
REG-24	2020-04-05	26	18	0	2	17	1	2559073	0.0282740007711091	Centre	19
REG-24	2020-04-06	27	18	0	2	34	1	2559073	0.0282740007711091	Centre	20
